payment_id,policy_id,payment_date,amount,payment_method
T4G9MF7,P00016,2023-09-29,2310.7,card
TQYX1QT,P00016,2024-03-08,2333.79,ach
TPSUD4Z,P00017,2025-11-02,5354.76,ach
T2VQRF9,P00018,2024-09-08,2760.58,ach
TP71T4D,P00018,2023-10-31,3185.0,card
TVU8AYD,P00018,2024-11-27,3194.26,ach
TJFD824,P00019,2025-01-25,3771.05,card
TUCCYDH,P00019,2025-06-24,3342.97,card
TMFRXSJ,P00019,2025-02-17,3619.09,card
TTVWNBY,P00020,2025-03-07,2419.24,ach
TBBZP7N,P00020,2025-03-24,2645.84,ach
T7KU5DX,P00020,2024-12-15,2863.48,card
TTG837H,P00021,2024-07-30,1746.59,ach
TV5BRDH,P00021,2025-07-07,2191.49,ach
T4U7Y6K,P00021,2025-04-28,1734.02,ach
T57YCMG,P00021,2024-04-05,1892.78,card
TXGPW7W,P00021,2024-11-05,1787.38,ach
TM65S38,P00022,2024-04-29,2665.35,ach
TZVDZP4,P00022,2024-11-16,2850.42,ach
T8FKI6C,P00022,2024-09-21,2725.04,ach
TBYIVSN,P00023,2024-03-23,3302.86,card
T4CD9KX,P00023,2024-10-28,3281.73,card
T7D9R66,P00024,2023-10-30,2084.88,check
TSQALOH,P00024,2024-01-27,1789.54,ach
TRUX8TE,P00024,2023-11-13,1830.69,ach
T97P682,P00024,2023-12-08,1770.96,ach
T14NN60,P00024,2024-02-25,1700.3,ach
TST6SET,P00025,2024-02-16,1474.24,card
TS81DX3,P00025,2024-09-09,1066.64,ach
TA3MBFC,P00025,2024-03-18,1366.61,ach
TTLR8WA,P00025,2024-08-03,1468.04,ach
T17CU0Q,P00025,2024-08-23,1134.62,card
TR4RB6W,P00026,2024-12-12,4650.74,ach
TRH3F76,P00026,2025-01-21,4626.49,card
TDQRQ8L,P00027,2023-09-01,2131.32,ach
TA6CQM2,P00027,2024-02-18,2125.54,ach
T9W553V,P00027,2023-10-14,2100.11,card
TMCUCM3,P00027,2023-07-22,2124.49,ach
T9F65X1,P00028,2024-04-19,10619.22,ach
TAX60Q5,P00029,2024-02-08,2500.85,ach
T23GSDN,P00029,2024-08-28,2057.58,ach
TJ1PS47,P00029,2024-03-21,2095.13,card
TBS2VS9,P00029,2024-09-11,2153.93,card
TJT98K6,P00029,2024-03-20,2053.21,ach
TZAY309,P00030,2024-02-25,4138.97,check
T3IL67U,P00030,2024-03-30,4062.36,ach
T7LN8J3,P00030,2024-04-19,4205.23,card
TQHNKVD,P00031,2023-09-12,1969.68,ach
TPB0GC0,P00031,2024-02-16,1822.36,check
TBOWKYF,P00031,2024-01-24,2053.2,check
TZWIORJ,P00031,2024-05-27,1831.99,card
TD1YHVB,P00031,2023-06-18,2105.99,ach
TRXAQES,P00032,2025-04-06,1763.19,ach
TWDFRAL,P00032,2025-05-20,2209.41,ach
TGU6WDF,P00032,2025-03-06,1659.97,ach
TJLPV8G,P00032,2025-07-17,2085.67,ach
T5I6FTV,P00032,2025-02-14,1746.6,ach
TUQHCB1,P00033,2025-05-08,8471.29,card
TMVSWTD,P00034,2025-05-10,3363.09,card
TBG63Z4,P00034,2025-02-05,3379.99,ach
TZHO5K4,P00034,2025-09-29,3462.12,ach
TH2RTKH,P00034,2025-10-27,3191.78,ach
TSSQ2NP,P00035,2024-01-17,2285.41,ach
TPKL4WL,P00035,2023-09-26,2217.25,check
T3QKTHU,P00035,2023-09-14,1851.14,ach
TA4OG98,P00035,2023-12-15,2504.66,ach
T3NUYEP,P00036,2024-12-06,3213.8,ach
T41K4YJ,P00036,2024-12-20,2920.06,card
TQBXHSS,P00036,2025-04-06,2903.97,ach
TBSVG3X,P00037,2025-06-06,3571.0,ach
T8QLQ0K,P00037,2025-07-17,3313.8,ach
TGAQHDP,P00037,2025-10-12,3613.26,card
TRG7HAX,P00038,2023-06-22,1838.14,card
T7NBY3R,P00038,2024-02-08,1834.2,ach
TALEZL9,P00038,2023-07-19,1885.18,ach
T96PG5F,P00038,2023-09-15,2051.61,ach
TZCEOIE,P00038,2023-07-16,2138.88,ach
T3TVYW7,P00039,2025-09-26,4131.95,ach
TZ8K0DY,P00039,2025-01-27,4104.77,card
TTTMWSK,P00040,2023-12-11,5676.68,card
TWXY4AZ,P00041,2025-07-05,3172.17,ach
TH3T1DS,P00041,2025-05-18,3231.21,card
T7P67ZN,P00041,2025-08-19,3074.21,card
TIU8KRB,P00041,2025-10-27,3156.49,ach
TABLAIT,P00042,2023-06-26,5991.54,card
TBQAHOJ,P00042,2023-03-24,5532.44,check
TK0ACD4,P00043,2025-10-03,5404.35,check
T2P4H0Z,P00044,2025-09-07,1939.04,card
T07FDEA,P00044,2025-09-08,1293.73,card
TKJST21,P00044,2025-04-12,1823.48,ach
TJ9TX9E,P00044,2025-10-19,1316.08,ach
T3HKBIA,P00045,2025-09-15,2672.97,ach
TG3JYWI,P00045,2026-03-14,3006.48,ach
TGT1BC2,P00045,2026-02-10,2796.23,ach
TKLA6Z7,P00045,2026-01-16,2807.94,ach
TZ2YP6S,P00046,2024-10-23,2333.08,ach
T64FNR2,P00046,2024-09-17,2693.28,ach
T6IVKJK,P00046,2024-11-08,2382.46,ach
T0V5JJF,P00046,2024-10-26,2592.65,ach
TEQSYUC,P00047,2024-03-25,1436.93,ach
TI9TFEF,P00047,2023-11-10,1245.63,card
TU55OLY,P00047,2023-11-26,1243.9,card
T1DRIDG,P00047,2024-03-29,1321.18,ach
T6LHORX,P00047,2024-07-03,1128.86,ach
TSXV3LF,P00048,2023-06-03,11531.44,card
TMYB27U,P00049,2024-01-08,2163.36,ach
T1V2KTY,P00049,2024-03-12,2064.13,ach
TWCZS2M,P00049,2024-02-27,2089.5,card
THRUB59,P00049,2024-05-07,2378.12,ach
T38Z00L,P00049,2024-06-14,2059.32,card
T3SLRUJ,P00050,2024-05-04,2458.2,card
TO9SS25,P00050,2024-02-05,2517.75,card
TBWUP0A,P00050,2024-06-27,2821.08,card
TPCH4QB,P00051,2024-12-07,2082.56,check
T7R13V7,P00051,2024-02-01,2440.63,card
T43UZ0H,P00051,2024-07-09,2335.36,check
TB2TBSF,P00052,2024-08-01,3169.88,card
T4UR55B,P00052,2024-09-11,3220.92,ach
TDQ4DPN,P00053,2025-03-16,2405.51,ach
TERUYON,P00053,2024-09-22,2518.17,check
TUTEX6E,P00053,2024-12-30,2491.79,ach
TGFYU1Q,P00053,2024-06-28,2736.11,check
TURUDP2,P00053,2025-08-25,2692.78,card
TSLKYLG,P00054,2025-06-25,3855.75,card
TE9UMQ7,P00054,2025-07-20,3997.34,ach
TJS0W60,P00055,2025-04-06,2280.12,ach
T57HCPJ,P00055,2025-07-16,2092.8,ach
TVN870Y,P00056,2025-03-11,1257.55,ach
TPIVYCX,P00056,2025-01-07,1986.25,card
T8TAKPT,P00056,2025-08-08,2022.1,ach
TVD8MFB,P00056,2024-08-31,1829.0,ach
TDNN58B,P00057,2023-07-11,1838.7,ach
TCXH8CD,P00057,2023-07-11,1435.04,ach
TFU7BUI,P00057,2024-11-15,1269.47,ach
TL0A1LW,P00057,2023-07-19,979.62,card
T4G254B,P00058,2023-11-20,3034.43,card
TTGDG96,P00058,2024-04-03,3394.57,ach
T1RYTNY,P00058,2024-01-30,2939.26,ach
TZOIBM4,P00059,2025-07-08,3510.24,ach
T2VCO2J,P00059,2026-02-09,3497.95,ach
T5BBRQI,P00060,2025-04-04,324.36,ach
THH1H89,P00060,2025-09-18,562.02,card
TU3N3YD,P00060,2025-04-20,463.92,ach
T2UAFB6,P00061,2025-01-21,2883.14,ach
TQ0MOF3,P00061,2025-02-26,3041.06,ach
T3S7N8V,P00061,2024-12-17,2713.96,card
T5XG7Y9,P00062,2024-03-26,1606.14,card
TSF5WRF,P00062,2024-02-08,1605.08,ach
TDDDB9L,P00062,2023-09-28,1481.68,ach
TDJZP7H,P00062,2024-02-02,1860.51,ach
TR0NKS6,P00063,2024-06-22,2570.75,card
TSOX4EB,P00063,2024-07-02,2363.85,ach
TIT0CKM,P00063,2024-02-22,2716.92,ach
TGKWSYX,P00064,2024-11-05,3807.62,card
TZ5BIMT,P00064,2025-06-13,3883.98,card
TV7MI3F,P00065,2024-11-12,1611.37,ach
TLU993O,P00065,2024-01-03,1805.76,check
TINZ2L9,P00065,2024-07-07,1726.87,ach
T29AAW8,P00065,2024-01-13,2207.06,card
T4NH3BO,P00066,2023-07-19,5336.83,ach
TEFXBSZ,P00066,2023-05-29,5627.24,ach
TXXQUA6,P00067,2025-02-09,4978.65,ach
T3L1XDP,P00067,2024-06-12,4440.68,card
TUP2QJ9,P00068,2025-04-03,1810.6,card
T462JF4,P00068,2025-05-03,1470.1,check
T7FOKEB,P00069,2024-09-21,2651.62,ach
TUJG45A,P00069,2024-10-13,2517.34,check
TXXRMSG,P00069,2025-05-02,2551.35,card
TY25XKU,P00070,2023-07-13,5958.3,check
TRJXKU7,P00070,2024-04-06,5860.61,card
TNL1WD4,P00071,2025-06-18,11941.52,card
T1HWK2W,P00072,2025-02-07,1078.5,card
T96I9R1,P00072,2024-10-12,994.66,ach
TWKMFRV,P00072,2024-04-09,1046.65,ach
TVHCZ5M,P00072,2024-08-17,1148.12,check
T9GW9HB,P00072,2024-11-18,1105.79,ach
T8809PO,P00073,2023-11-17,10835.42,card
TJ1U82N,P00074,2024-04-07,2090.66,ach
TJN5JID,P00074,2024-07-09,1960.32,ach
TMRL4KB,P00074,2024-05-26,1941.99,ach
T2JISMU,P00074,2023-10-09,2322.19,card
T9Z6TPM,P00074,2023-12-09,1981.66,card
T9MCXUO,P00075,2024-09-25,2773.78,card
TL0NHTE,P00075,2024-07-13,2671.41,ach
T6N7YPU,P00075,2024-07-23,2862.81,ach
TI0DCO4,P00075,2024-11-17,2679.28,check
TPVIBDZ,P00076,2025-03-18,1885.96,ach
TDEPKPB,P00076,2025-08-31,1963.63,ach
TXELJS4,P00076,2026-02-16,2150.25,ach
T79TRFE,P00077,2023-04-22,2684.2,card
TNKK4N1,P00077,2023-05-11,2709.91,card
TPL0B3E,P00077,2023-02-11,2886.74,ach
TU22X4D,P00078,2024-01-24,4251.59,ach
TH96UN2,P00078,2024-12-11,3941.25,ach
TBZTSUE,P00079,2025-07-20,2407.66,card
TAV9ISO,P00079,2025-08-09,2173.01,ach
T0NVEAG,P00079,2025-11-09,2019.99,card
T1FX8XT,P00079,2025-08-09,2019.43,check
TJHO58B,P00079,2025-08-01,1867.78,ach
TKXU3YK,P00080,2025-05-26,3090.23,ach
TSXNPXX,P00080,2024-08-06,3209.95,card
TPAW2KG,P00081,2025-09-09,8839.56,card
TIVT5LW,P00082,2024-02-27,3480.23,ach
T9HN7EQ,P00083,2025-05-31,2095.17,ach
TUQFUHI,P00083,2025-05-15,1926.15,card
T8HL6G6,P00084,2025-02-06,8849.95,ach
TS0MMR2,P00085,2023-10-21,5950.04,ach
T00L7F9,P00085,2024-07-02,6051.73,card
TF6HVGC,P00086,2024-04-07,2014.61,card
TRCAYCU,P00086,2024-09-23,2219.55,card
TCVIEB1,P00086,2024-04-06,2591.71,check
TD1DZD0,P00086,2024-09-26,1919.05,card
TOXILP5,P00086,2024-10-10,2259.48,ach
T44SS2Z,P00087,2023-01-29,4744.76,ach
TVX1IZC,P00087,2023-06-12,4877.6,ach
T36OQYA,P00088,2024-03-19,2908.18,ach
TZG7JZI,P00088,2024-05-07,2718.72,ach
T1DAU93,P00088,2023-12-13,2831.57,ach
TZUWP3R,P00089,2026-01-31,4526.51,ach
T7D17BM,P00089,2026-03-14,4597.93,ach
TQSE0FM,P00090,2023-06-19,213.96,ach
TZWRXSG,P00090,2023-08-03,145.23000000000002,ach
T74ZBL6,P00090,2023-12-09,78.51,ach
T3WVD00,P00090,2024-07-12,133.47,ach
TD7OTAV,P00091,2024-02-11,3604.61,card
THBZ2IW,P00091,2024-04-13,3364.56,card
T1XKBJJ,P00092,2023-12-08,2359.63,ach
TEIAZRL,P00092,2024-01-02,2605.29,ach
TLBETYP,P00092,2023-12-09,2485.67,card
TI4FFGM,P00093,2024-02-12,2172.5,ach
TG6YYUS,P00093,2024-02-03,2129.47,check
T4NBUB2,P00093,2023-11-09,2372.13,card
TYZ0N7W,P00094,2023-10-21,2319.25,ach
TH9TBWF,P00094,2024-12-24,2133.84,card
T6PL11E,P00094,2023-10-07,2098.24,ach
TY84PDQ,P00095,2024-08-06,2491.63,ach
TQWSJ67,P00095,2024-08-12,2298.57,ach
TI2N2PH,P00095,2024-01-31,2525.25,card
TD0ARBR,P00095,2024-12-17,2057.6,ach
TIQQG10,P00095,2023-12-23,2600.19,ach
TLIV70M,P00096,2023-08-26,1638.0,card
TQB9XNS,P00096,2024-02-11,1467.77,card
T1HHIJD,P00096,2023-09-17,1432.93,ach
TMX4MYP,P00096,2024-03-12,1396.21,ach
TJJZQ8T,P00096,2024-06-14,1460.14,card
TEJ42BT,P00097,2024-08-10,8121.03,ach
TMX7N2P,P00098,2024-12-30,1543.17,check
T3WWQBA,P00098,2025-03-11,1899.53,ach
TV07TC1,P00098,2024-02-09,1847.12,ach
T22QLFH,P00099,2024-06-09,1932.71,card
TBJTQIY,P00099,2023-09-05,1952.15,card
TIKS4G6,P00099,2023-07-18,1824.36,card
TWI9PQS,P00099,2023-12-04,1826.52,ach
T9PKFBO,P00100,2024-04-18,4466.03,card
TNEW21O,P00100,2024-07-29,4817.21,check
T7MNJMH,P00101,2025-05-18,2437.96,card
TIDWO1B,P00101,2025-04-27,2748.35,card
TJVVFW6,P00101,2025-07-02,2401.69,card
T3OCCSK,P00101,2024-12-01,2644.64,ach
T1HKGP8,P00102,2026-01-08,3820.51,ach
TPLYEZA,P00102,2026-04-06,3864.62,ach
TEGBOPY,P00102,2026-04-03,3783.35,card
T56G683,P00103,2023-10-09,2099.61,ach
T55VKSO,P00103,2024-03-11,2451.56,ach
T8JHPY5,P00103,2024-01-06,2048.63,ach
TDJN4GM,P00103,2024-05-02,2383.14,ach
TTP7X9N,P00104,2025-04-10,5943.81,ach
TNBZ9PY,P00104,2025-07-13,5775.6,card
TU992MI,P00105,2024-02-11,2548.65,ach
T2CH5PJ,P00105,2023-07-06,2302.51,ach
TGB5UBC,P00105,2023-08-13,2399.97,ach
TFO9VGE,P00105,2023-12-27,2001.43,ach
TWIQO5E,P00106,2023-05-10,1703.75,card
TKXZ9R2,P00106,2023-07-13,1898.48,ach
TW2XIQD,P00106,2023-05-20,1664.47,ach
T1GQU18,P00106,2023-05-17,1629.69,ach
TO9BRJ8,P00107,2023-09-02,1465.81,ach
TF6E61P,P00107,2024-01-08,1258.93,ach
TCIJ9KY,P00107,2023-12-27,1234.04,ach
TQC0WST,P00107,2024-05-27,1016.47,ach
TZVYTVY,P00108,2024-08-17,2304.71,ach
T7UN1F7,P00108,2025-06-05,2302.6,check
TBH717V,P00108,2024-08-05,2311.07,check
TBFG0ZS,P00109,2024-01-23,6729.88,check
T3MB8OF,P00110,2025-06-02,2419.21,ach
TNDSHQU,P00110,2024-10-09,2593.9,ach
TYPOLXM,P00110,2025-06-12,2272.91,ach
TXW06OJ,P00110,2025-02-12,2306.54,ach
TYL4IKH,P00110,2024-11-08,2562.91,ach
TP20M62,P00111,2025-08-27,2453.99,ach
TH2SMSP,P00111,2025-04-12,2623.66,card
TUCB425,P00111,2025-03-27,2273.56,card
TG1L6CF,P00111,2025-07-27,2544.09,ach
TT2WPGC,P00112,2025-08-25,4921.52,ach
T9T4BZ7,P00112,2025-11-12,4900.9,check
TMBNKBP,P00113,2024-11-13,771.56,ach
TAVIECU,P00113,2025-03-16,920.02,ach
TR7TTE2,P00113,2025-03-26,960.24,check
TRKK9QL,P00113,2024-08-25,1120.97,ach
TLP1YR2,P00114,2025-08-18,2690.38,ach
T4KJKS6,P00114,2025-01-10,2706.51,card
TU3VOR2,P00114,2025-03-28,2966.23,ach
TWG9JGM,P00115,2023-07-07,3045.08,card
TDMXUTS,P00115,2023-07-31,2995.49,check
T8UJMDV,P00115,2023-05-05,3469.35,ach
TNVSIF5,P00116,2025-06-04,8572.68,ach
TRW0WGU,P00117,2025-04-29,3077.57,ach
T7JC365,P00117,2025-09-06,3710.94,ach
TCPM8TC,P00118,2025-10-06,6592.01,check
T7KLJJW,P00119,2026-07-21,1515.76,card
TKFEXUH,P00119,2025-12-22,1711.38,card
TOBE75E,P00119,2026-01-16,1257.03,ach
TOU9ZYE,P00119,2025-12-14,1775.86,ach
TK1BP6K,P00119,2025-03-09,1189.64,ach
T1EQUHD,P00120,2026-02-11,2648.57,ach
TC5A3XX,P00120,2025-08-02,3071.21,ach
TWXS07U,P00120,2025-05-04,2825.43,ach
TKV5F6M,P00121,2023-11-01,1666.72,ach
TTW19PE,P00121,2023-09-05,1717.95,ach
T6SXAM0,P00121,2023-10-02,2090.39,ach
T6A0C31,P00121,2024-03-01,1880.77,card
TJXVCC5,P00121,2024-01-02,1970.44,card
TEKRJDX,P00122,2025-01-25,2330.4,card
T505BOQ,P00122,2025-04-13,2570.07,card
TSK60QV,P00122,2025-02-16,2492.25,card
T063LVP,P00123,2025-08-20,2059.12,check
TQSRDBO,P00123,2025-12-10,1923.64,card
THWOYRP,P00123,2026-02-16,1665.57,ach
T79QCKA,P00123,2026-01-16,2035.14,ach
T4MN8KZ,P00124,2025-10-04,2237.39,ach
TG7PHV2,P00124,2025-10-26,2425.65,card
TIIRV7O,P00124,2025-10-25,2611.34,card
THLAMIH,P00124,2025-03-30,2276.38,ach
T26DABC,P00124,2026-03-11,2554.47,ach
TDSTVID,P00125,2024-07-31,5670.25,ach
T7GT3JY,P00125,2023-11-22,6027.03,ach
TX4PXOJ,P00126,2024-03-20,2375.55,ach
TJ0YK78,P00126,2024-01-25,2146.8,ach
TE2F38G,P00126,2025-03-12,2489.01,ach
T0RXU7Y,P00127,2024-07-25,600.36,card
T7P9Y0J,P00127,2024-06-15,899.42,ach
TI8JFJJ,P00127,2024-09-28,1518.12,ach
TPLIDVI,P00127,2025-03-11,814.01,ach
TRFLPPF,P00127,2024-09-27,951.19,card
T8LEH6B,P00128,2024-07-31,2351.71,ach
T1GKIL2,P00128,2024-03-15,2436.93,check
TRWHFMW,P00128,2024-09-25,2431.08,card
TQCWNSS,P00128,2025-01-31,2589.29,check
TLQ4CUB,P00129,2024-01-13,5993.81,ach
T2TJWMA,P00129,2024-01-07,5794.61,check
TK7ROKV,P00130,2025-03-30,2195.25,ach
T6IN5TN,P00130,2025-04-29,2104.13,card
TOIHNLN,P00130,2025-06-13,2372.18,card
TRAOCA2,P00130,2025-05-04,1998.08,ach
T6NJA0M,P00131,2025-04-22,1726.04,ach
TXFJ93K,P00131,2025-06-03,1907.26,ach
TR5QDJ5,P00132,2023-05-26,2386.49,ach
T7UWMIV,P00132,2023-06-05,2266.05,card
TRDEHJT,P00132,2023-07-26,1983.68,card
TUVZ632,P00132,2023-07-09,2065.18,ach
TAI62UR,P00133,2025-09-17,12091.31,ach
TV141JB,P00134,2024-08-30,3502.06,ach
T5FT8K8,P00134,2025-01-20,3141.77,ach
T7OOUBN,P00135,2024-10-14,1804.42,ach
TX7B3JL,P00135,2024-09-12,1815.96,card
T7HYRMR,P00135,2025-01-17,1459.83,ach
TB49GYS,P00135,2024-10-04,1778.84,card
TRLXBWP,P00136,2024-05-28,3882.44,card
TGDZCO1,P00136,2024-04-24,4117.33,ach
TW3TZMD,P00137,2025-01-19,834.43,ach
TXNBHE1,P00137,2024-12-30,1265.84,card
TAHDCR3,P00137,2025-07-12,1588.82,ach
T07ZTHI,P00137,2025-09-28,1299.42,ach
T2BHL57,P00137,2025-10-06,1182.39,ach
TEMJA96,P00138,2024-06-17,2483.86,card
TLKB3LU,P00138,2024-02-15,2795.6,card
TW5ES8L,P00138,2024-05-14,2624.89,ach
TROFQXT,P00138,2024-07-21,2533.57,ach
TXF7SXK,P00138,2024-01-22,2401.17,ach
TTW4IED,P00139,2025-04-15,4498.73,ach
TUHNDYN,P00139,2025-02-21,4399.68,card
TOG7OXW,P00140,2023-11-05,1891.57,ach
TWA32TC,P00140,2023-10-10,2031.52,ach
TYUZRFR,P00140,2023-09-30,1999.42,ach
T7S3AVM,P00140,2024-06-20,1782.17,card
TXSQOIE,P00140,2023-10-07,1737.54,ach
T74F09M,P00141,2024-10-29,1129.94,ach
TTF8X9W,P00141,2024-12-27,1720.81,card
TRC8CO5,P00141,2024-08-29,1420.37,ach
TSAGFBQ,P00141,2024-10-17,1417.87,ach
TIOTRF0,P00142,2023-09-10,1760.1,ach
TURW09Z,P00142,2023-08-07,1887.52,card
TFCKV8P,P00143,2023-08-26,1868.08,ach
TRKDXR7,P00143,2023-12-01,2058.17,check
THGZD0N,P00143,2023-12-05,2171.02,ach
TXFXFSW,P00144,2024-03-30,3629.47,check
TO09N2W,P00144,2023-08-03,3713.59,card
THB6GG8,P00145,2023-04-24,1655.68,ach
TCSFGKH,P00145,2023-10-30,1421.2,ach
T56DCU2,P00145,2023-06-22,1601.84,card
TZX4QLY,P00146,2023-11-24,6327.5,card
TH5CNGS,P00147,2025-09-22,3030.67,card
TS1JQLB,P00147,2026-01-29,3350.33,ach
TEMZ5S6,P00147,2024-12-22,3044.52,ach
T3KEH3X,P00148,2023-04-21,6076.41,check
TW8V5GI,P00148,2023-08-05,5434.91,check
T9DUFA6,P00149,2025-05-09,2606.19,ach
TUEJPXB,P00149,2025-03-05,3446.31,ach
T13KWSD,P00149,2025-06-06,3045.25,check
TJYLE41,P00150,2024-07-15,3759.77,ach
TJ3WEW3,P00150,2024-10-13,3716.28,card
T2YQYEV,P00150,2025-01-09,3671.72,ach
T30XGIC,P00151,2025-01-20,3193.33,ach
TI2LGB9,P00151,2025-07-24,3115.43,card
T0HQT8M,P00152,2023-12-24,11255.62,card
T5P8DTQ,P00153,2025-08-19,3800.83,card
TVB82CR,P00153,2025-05-17,3403.39,ach
TCRURWC,P00154,2024-11-30,421.54,card
TNPAZO8,P00154,2025-03-12,838.9,card
TRYJLDK,P00154,2025-05-30,282.3,check
TYN96AB,P00154,2025-05-28,410.95,card
T5M6X7S,P00155,2025-11-30,2776.81,ach
T5ILMTY,P00155,2025-05-09,2690.97,ach
TNOHL8V,P00155,2025-08-01,2860.42,ach
T8PC2VJ,P00156,2024-09-02,8260.72,ach
TAZPO6O,P00157,2024-04-10,2697.56,card
T3O83OG,P00157,2024-09-29,3282.16,card
TBXA2E4,P00157,2024-08-27,2871.53,ach
T9W8HVY,P00158,2024-08-08,3098.16,check
TQVEWV3,P00158,2024-05-08,3128.68,ach
T5WRF8R,P00158,2024-06-28,3334.7,ach
TLA319Y,P00159,2025-09-23,1386.04,ach
T96WZ2X,P00159,2026-01-11,1466.38,ach
TI8RHT2,P00160,2023-05-06,1614.22,ach
TLQLFLD,P00160,2023-11-03,1438.81,card
TAUUFYN,P00160,2023-08-04,1746.83,ach
TZP6RLB,P00160,2023-10-05,1533.78,ach
TF0918Y,P00160,2023-08-25,1936.59,card
TGMXN1R,P00161,2023-03-11,1850.18,ach
TBIJWAT,P00161,2023-09-21,2095.28,ach
TSUD40D,P00161,2023-06-24,1798.77,ach
TR5U41G,P00161,2023-10-01,2379.25,card
TQMU3ON,P00161,2023-07-13,2407.64,ach
TLGHRT6,P00162,2025-04-25,3592.2,ach
T2HXK1J,P00162,2024-09-13,3192.26,check
TN10E6C,P00163,2023-11-18,2017.99,ach
TH3YX6L,P00163,2023-03-24,2029.3,ach
TA9FOS6,P00163,2023-09-18,2031.38,ach
TI1J8V5,P00163,2024-04-21,1754.94,ach
TBD003V,P00164,2023-08-29,1526.39,card
T633QOX,P00164,2023-11-30,1231.26,ach
TC1VI7Y,P00164,2023-12-03,1329.95,card
TFNACMQ,P00165,2024-10-10,5924.57,ach
TXG6QNO,P00165,2024-10-07,6278.29,ach
TTHQ5B7,P00166,2023-09-13,3694.34,card
TX946RF,P00166,2023-10-31,4334.56,card
THVL2VO,P00167,2024-02-02,2558.95,card
TVKIU2T,P00167,2023-09-27,2456.45,ach
TI4JDPZ,P00167,2023-12-24,2576.78,ach
TVX1XKJ,P00167,2024-04-23,2708.15,ach
TN9705D,P00168,2023-12-27,1446.29,ach
TMY3I5F,P00168,2024-01-05,1072.78,ach
T8LEBWS,P00168,2024-02-19,1806.42,card
T51QAAC,P00168,2023-10-01,1471.6,ach
TQJE32Y,P00169,2024-10-03,4158.06,card
TRBSP28,P00169,2023-12-08,4041.49,ach
TD5L387,P00169,2023-10-16,3980.37,ach
T3WREH7,P00170,2024-12-18,6161.11,ach
TR7A0MF,P00171,2023-02-21,2112.61,card
TEPNKKK,P00171,2023-05-24,2064.29,ach
TRWBSPT,P00171,2023-05-29,1928.01,card
TJ92TEX,P00171,2023-09-13,1998.82,ach
T2ERFMG,P00171,2023-05-10,2171.75,ach
T99X6JZ,P00172,2023-10-26,5186.45,ach
TA0D42E,P00172,2023-12-23,4784.05,card
TWK1R21,P00173,2023-09-28,1814.12,card
TESWCZY,P00173,2024-03-07,2280.49,ach
T6UMPDO,P00173,2024-03-15,2211.24,ach
T3GHW27,P00173,2023-10-25,2448.37,ach
TKHPZYY,P00174,2023-10-16,2656.99,ach
T9GE6LQ,P00174,2024-05-01,3284.98,ach
